time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-24T22:26:15.350Z,19.5711,-66.486,85,3.13,md,3,352,1.2534,0.23,pr,pr2019055011,2019-02-25T01:46:28.040Z,"133km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,13.12,15.75,0.15,2,reviewed,pr,pr
2019-02-24T21:05:11.300Z,40.3951683,-125.0263367,-0.31,4.15,mw,71,255,0.5319,0.21,nc,nc73145321,2019-02-25T06:42:57.566Z,"63km W of Petrolia, CA",earthquake,1.64,4.69,,4,reviewed,nc,nc
2019-02-24T20:54:45.910Z,40.4501648,-124.9106674,-0.26,3.15,ml,37,291,0.4381,0.25,nc,nc73145311,2019-02-24T22:41:03.441Z,"55km WNW of Petrolia, CA",earthquake,3.79,5.9,0.333,7,automatic,nc,nc
2019-02-24T19:50:19.830Z,-10.594,165.7624,112.87,5.1,mb,,111,5.841,1.17,us,us2000jmij,2019-02-24T20:08:55.040Z,"15km NNW of Lata, Solomon Islands",earthquake,12,8,0.106,29,reviewed,us,us
2019-02-24T19:27:54.760Z,17.7867,120.3382,49.04,4.5,mb,,96,5.053,0.89,us,us2000jmib,2019-02-24T21:36:35.040Z,"11km N of Puro Pingit, Philippines",earthquake,10.8,3.8,0.107,26,reviewed,us,us
2019-02-24T18:12:16.505Z,38.3635,-115.808,5.1,3,ml,66,71.8,0.721,0.265,nn,nn00678738,2019-02-25T02:05:56.170Z,"51km SW of Currant, Nevada",earthquake,,1.8,0.39,23,reviewed,nn,nn
2019-02-24T17:12:13.100Z,10.3426,93.9204,10,4.4,mb,,195,5.867,1.21,us,us2000jmh9,2019-02-24T21:24:50.040Z,"194km SE of Port Blair, India",earthquake,10.3,1.9,0.13,17,reviewed,us,us
2019-02-24T16:58:41.080Z,18.2015,-68.0016,126,2.89,md,4,191,0.4918,0.25,pr,pr2019055010,2019-02-24T22:17:36.962Z,"59km SE of Punta Cana, Dominican Republic",earthquake,8.65,2.71,0,1,reviewed,pr,pr
2019-02-24T16:37:36.122Z,61.7185,-149.9479,37.3,3.1,ml,,,,0.83,ak,ak0192j8b11q,2019-02-25T08:31:05.249Z,"5km SE of Willow, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-02-24T15:51:51.470Z,19.3555,-67.1003,36,2.82,md,4,262,1.0666,0.19,pr,pr2019055009,2019-02-24T22:16:20.154Z,"94km N of Isabela, Puerto Rico",earthquake,1.92,12.94,0.2,2,reviewed,pr,pr
2019-02-24T15:28:35.570Z,35.1345,-97.5903,7.91,2.8,ml,,45,0.084,0.52,us,us2000jmgl,2019-02-25T04:25:10.098Z,"6km E of Blanchard, Oklahoma",earthquake,1.8,5.5,0.375,19,reviewed,ok,ok
2019-02-24T15:13:43.100Z,71.8901,-1.2181,10,4.5,mb,,79,6.836,0.58,us,us2000jmgj,2019-02-24T21:01:59.040Z,"287km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.3,1.9,0.061,79,reviewed,us,us
2019-02-24T14:29:20.785Z,64.9569,-146.6821,9.7,2.6,ml,,,,0.89,ak,ak0192j72f0d,2019-02-24T15:15:34.040Z,"39km NNE of Eielson Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-24T14:26:36.572Z,64.9548,-146.6319,11.4,2.8,ml,,,,0.94,ak,ak0192j71t0v,2019-02-24T15:09:13.040Z,"38km NNE of Eielson Air Force Base, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-24T14:18:08.380Z,71.7343,-1.065,10,4.2,mb,,80,6.881,0.6,us,us2000jmfw,2019-02-24T15:01:20.040Z,"287km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,5.6,1.8,0.128,17,reviewed,us,us
2019-02-24T13:41:39.304Z,56.9313,-156.179,46.1,2.5,ml,,,,0.94,ak,ak0192j6jmrl,2019-02-24T20:58:36.040Z,"127km NNW of Chirikof Island, Alaska",earthquake,,2,,,reviewed,ak,ak
2019-02-24T13:29:33.130Z,0.5031,122.1925,93.59,5.1,mww,,23,1.534,0.96,us,us2000jmet,2019-02-24T21:03:13.040Z,"17km W of Tilamuta, Indonesia",earthquake,6.4,4.5,0.071,19,reviewed,us,us
2019-02-24T12:00:39.780Z,71.7685,-1.1916,10,4.3,mb,,85,6.841,0.89,us,us2000jmec,2019-02-24T12:16:04.040Z,"284km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.8,1.9,0.101,28,reviewed,us,us
